,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FGA_1,FG%_1,3PTA_1,3PT%_1,FTA_1,FT%_1,ORebounds_1,DRebounds_1,Assits_1,Turnovers_1,Steals_1,Blocks_1,Fouls_1,FGA_2,FG%_2,3PTA_2,3PT%_2,FTA_2,FT%_2,ORebounds_2,DRebounds_2,Assits_2,Turnovers_2,Steals_2,Blocks_2,Fouls_2,Winner (first team = 1 sec team = 0),FG Diff,FG% Diff,3pt Diff,3P% Diff,FT Diff,FT% Diff,Assist Diff,Turnover Diff,O Rebounds Diff,D Rebounds Diff,Steals Diff,Blocks Diff,Foul Diff,Winner (first team = 1 sec team = 0)
,,76,51.3,33,33.3,30,60,6,29,27,15,9,4,17,84,50,37,51.4,18,83.3,11,34,25,19,10,2,20,0,-8,1.3,-4,-18.1,12,-23.3,2,-4,-5,-5,-1,2,-3,0
Dallas Mavericks,Win,84,50,38,28.9,15,53.3,7,30,20,12,9,4,14,84,46.4,30,33.3,14,85.7,12,28,28,17,6,1,17,1,0,3.6,8,-4.4,1,-32.4,-8,-5,-5,2,3,3,-3,1
,,77,50.6,34,35.3,25,84,6,25,23,19,12,3,21,88,44.3,34,32.4,25,84,18,26,20,19,10,4,22,1,-11,6.3,0,2.9,0,0,3,0,-12,-1,2,-1,-1,1
,,72,44.4,28,42.9,24,83.3,12,29,18,22,7,3,20,80,43.8,29,34.5,19,73.7,14,20,22,14,13,5,26,1,-8,0.6,-1,8.4,5,9.6,-4,8,-2,9,-6,-2,-6,1
,,81,50.6,43,32.6,26,80.8,7,33,26,11,8,2,27,80,45,31,41.9,35,77.1,12,32,20,12,6,2,21,1,1,5.6,12,-9.3,-9,3.7,6,-1,-5,1,2,0,6,1
,,80,43.8,43,39.5,24,66.7,8,26,20,12,12,1,20,64,53.1,28,42.9,26,80.8,3,37,23,21,8,2,27,1,16,-9.3,15,-3.4,-2,-14.1,-3,-9,5,-11,4,-1,-7,1
,Lose,78,44.9,42,35.7,21,57.1,6,30,24,13,5,3,18,78,47.4,27,33.3,19,78.9,4,40,22,16,10,5,20,0,0,-2.5,15,2.4,2,-21.8,2,-3,2,-10,-5,-2,-2,0
,,82,53.7,31,35.5,21,61.9,5,30,20,14,4,3,23,84,53.6,34,50,21,85.7,6,32,29,12,4,4,22,0,-2,0.1,-3,-14.5,0,-23.8,-9,2,-1,-2,0,-1,1,0
,,73,47.9,39,28.2,24,79.2,4,30,28,16,7,5,26,88,43.2,26,30.8,26,80.8,17,31,20,13,10,2,21,0,-15,4.7,13,-2.6,-2,-1.6,8,3,-13,-1,-3,3,5,0
,,80,51.3,41,41.5,25,64,6,26,23,13,6,2,17,86,55.8,37,45.9,15,73.3,8,32,28,14,8,5,24,0,-6,-4.5,4,-4.4,10,-9.3,-5,-1,-2,-6,-2,-3,-7,0
,,88,46.6,40,32.5,24,41.7,12,31,21,11,8,6,21,87,43.7,32,34.4,23,82.6,13,38,27,17,5,4,21,0,1,2.9,8,-1.9,1,-40.9,-6,-6,-1,-7,3,2,0,0
Denver Nuggets,Win,84,53.6,31,58.1,16,87.5,8,39,32,20,5,2,15,93,48.4,29,20.7,19,73.7,10,30,19,10,9,5,19,1,-9,5.2,2,37.4,-3,13.8,13,10,-2,9,-4,-3,-4,1
,,87,60.9,29,51.7,10,50,10,37,37,18,10,0,15,80,48.8,30,40,19,57.9,6,22,28,15,8,3,13,1,7,12.1,-1,11.7,-9,-7.9,9,3,4,15,2,-3,2,1
,,88,53.4,24,33.3,20,65,8,32,33,22,14,7,14,82,52.4,33,36.4,18,61.1,10,28,31,24,14,5,17,1,6,1,-9,-3.1,2,3.9,2,-2,-2,4,0,2,-3,1
,,88,48.9,28,42.9,26,92.3,11,36,27,22,10,7,15,96,46.9,42,33.3,19,78.9,11,33,28,18,9,5,23,1,-8,2,-14,9.6,7,13.4,-1,4,0,3,1,2,-8,1
,,80,60,27,48.1,21,81,5,31,33,16,11,3,17,81,49.4,22,27.3,21,81,8,28,24,19,9,4,19,1,-1,10.6,5,20.8,0,0,9,-3,-3,3,2,-1,-2,1
,Lose,90,42.2,30,33.3,18,72.2,13,23,24,13,4,1,20,77,59.7,32,40.6,28,78.6,6,38,29,10,5,3,19,0,13,-17.5,-2,-7.3,-10,-6.4,-5,3,7,-15,-1,-2,1,0
,,85,52.9,32,37.5,13,53.8,9,24,31,16,8,0,12,88,55.7,28,35.7,14,64.3,12,31,24,12,7,3,14,0,-3,-2.8,4,1.8,-1,-10.5,7,4,-3,-7,1,-3,-2,0
,,81,50.6,31,25.8,24,66.7,9,34,24,19,5,5,22,81,50.6,26,42.3,36,77.8,6,30,29,11,10,5,22,0,0,0,5,-16.5,-12,-11.1,-5,8,3,4,-5,0,0,0
,,78,51.3,32,40.6,28,78.6,8,28,30,17,8,4,28,72,50,36,47.2,31,87.1,4,31,27,17,10,4,32,0,6,1.3,-4,-6.6,-3,-8.5,3,0,4,-3,-2,0,-4,0
,,81,48.1,27,33.3,28,75,9,30,25,19,7,4,17,91,52.7,33,36.4,24,75,11,34,29,15,11,4,21,0,-10,-4.6,-6,-3.1,4,0,-4,4,-2,-4,-4,0,-4,0
Detroit Pistons,Win,93,41.9,33,27.3,33,75.8,16,42,20,16,6,9,19,102,40.2,33,30.3,17,64.7,16,30,23,10,9,11,26,1,-9,1.7,0,-3,16,11.1,-3,6,0,12,-3,-2,-7,1
,,88,51.1,28,28.6,14,85.7,12,28,27,16,7,5,24,86,50,19,26.3,26,65.4,15,27,28,18,7,8,21,1,2,1.1,9,2.3,-12,20.3,-1,-2,-3,1,0,-3,3,1
,,89,49.4,24,50,27,92.6,8,30,24,7,9,2,20,83,49.4,41,43.9,19,84.2,7,31,31,16,4,7,21,1,6,0,-17,6.1,8,8.4,-7,-9,1,-1,5,-5,-1,1
,,79,45.6,28,28.6,26,53.8,7,29,14,16,9,6,26,77,42.9,28,28.6,33,84.8,10,31,14,14,3,4,20,1,2,2.7,0,0,-7,-31,0,2,-3,-2,6,2,6,1
,,94,54.3,35,42.9,24,58.3,13,39,29,13,9,0,26,86,53.5,46,41.3,29,48.3,4,26,25,13,8,7,24,1,8,0.8,-11,1.6,-5,10,4,0,9,13,1,-7,2,1
,Lose,89,41.6,38,42.1,21,85.7,11,39,23,14,4,3,23,91,42.9,48,37.5,24,87.5,9,33,27,7,6,4,17,0,-2,-1.3,-10,4.6,-3,-1.8,-4,7,2,6,-2,-1,6,0
